Title,,,,Company,,Skills,,,,,,,URL
Senior DevOps Engineer,,,,CloudHero,,"['Communication', 'Devops', 'Linux', 'Cloud Computing', 'Kubernetes']",,,,,,,https://merojob.com/senior-devops-engineer-11/
Senior Software Engineer (m/f/x),,,,ITONICS Nepal,,[],,,,,,,https://merojob.com/senior-software-engineer-mfx-2/
DBA-SQL Developer,,,,Verisk Nepal,,"['Mysql', 'Postgresql', 'Database Administration']",,,,,,,https://merojob.com/dba-sql-developer-4/
Dot Net Developer,,,,Verisk Nepal,,"['Communication', 'Asp.Net', 'C#', 'Angular', 'Aws Services']",,,,,,,https://merojob.com/dot-net-developer-90/
AWS DevOps/Linux Admin,,,,Verisk Nepal,,"['Devops', 'Aws']",,,,,,,https://merojob.com/aws-devopslinux-admin-3/
React Developer,,,,Verisk Nepal,,"['Interpersonal', 'Management', 'Communication', 'Html']",,,,,,,https://merojob.com/react-developer-55/
UI Developer,,,,Verisk Nepal,,"['Interpersonal', 'Communication', 'Technical']",,,,,,,https://merojob.com/ui-developer-8/
QA Engineer,,,,Verisk Nepal,,"['Interpersonal', 'Management', 'Communication']",,,,,,,https://merojob.com/qa-engineer-74/
DevOps Engineer,,,,Verisk Nepal,,[],,,,,,,https://merojob.com/devops-engineer-45/
DevOps Engineer,,,,Cedar Gate Services,,"['Communication', 'Time Management', 'Javascript', 'Analytical', 'Troubleshooting', 'Decision Making', 'Sql Knowledge']",,,,,,,https://merojob.com/devops-engineer-46/
Software Engineer Intern,,,,Hitachi Energy,,"['Php', 'Javascript', 'Jquery', 'C#', '.Net']",,,,,,,https://merojob.com/software-engineer-intern-4/
System Administrator Intern,,,,Hitachi Energy,,"['Communication', 'Documentation', 'Microsoft Office Suite', 'Multitasker']",,,,,,,https://merojob.com/system-administrator-intern-2/
Database Administrator,,,,Cedar Gate Services,,"['Interpersonal', 'Communication', 'Time Management', 'Database Design', 'Database Administration']",,,,,,,https://merojob.com/database-administrator-32/
Project Manager,,,,Cedar Gate Services,,"['Interpersonal', 'Communication', 'Time Management', 'Project Management', 'Decision Making']",,,,,,,https://merojob.com/project-manager-476/
Java Developer (Account Managem…,,,,Smart Data Solution,,"['Html', 'Javascript', 'Jquery', 'Java And Object Oriented Programming']",,,,,,,https://merojob.com/java-developer-173/
API Developer (MuleSoft),,,,BI-SOLUTIONS,,['Mulesoft'],,,,,,,https://merojob.com/api-developer/
ETL Developer (Informatica),,,,BI-SOLUTIONS,,[],,,,,,,https://merojob.com/etl-developer-informatica/
ETL Developer (Talend),,,,BI-SOLUTIONS,,[],,,,,,,https://merojob.com/etl-developer-talend/
Software Test Engineer,,,,WhiteHat Engineering Inc.,,"['Java', 'Python', 'Node.Js', 'Ror']",,,,,,,https://merojob.com/software-test-engineer-19/
Product Manager,,,,WhiteHat Engineering Inc.,,"['Interpersonal', 'Management', 'Communication']",,,,,,,https://merojob.com/product-manager-50/
